"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"5201","Из Минска с любовью. Этап 1.","","Многоэтапный синхронный турнир ""Из Минска с любовью"". Сезон 2018-2019. 1 этап.","2018-10-13 19:00:00","2018-10-17 19:00:00","2","18","","36","Синхрон","4.5","3","Студенты. Для спецзачёта ""Беларусь"" взносы снижены в полтора раза. Школьники играют бесплатно.","2018-10-15","","","$","$"
"2608","Нестерка","Минск","XIX международный турнир Нестерка 2013","2013-10-26 00:00:00","2013-10-27 00:00:00","4","15","","60","Обычный","24","","","","","http://www.nesterka.info","$",""
"399","Кубок Мюнхгаузена","Саулкрасти","","2008-11-08 00:00:00","2008-11-09 00:00:00","","","","","Обычный","","","","","","","",""
"4014","Студенческий Кубок княгини Ольги","Витебск","III Международный студенческий турнир по интеллектуальным играм «Кубок княгини Ольги 2017»","2017-03-04 14:00:00","2017-03-05 14:00:00","5","12","","60","Обычный","25","","","","","http://volha.by/students/","$",""
"4114","Открытый студенческий кубок Прибалтики","Калининград","II Открытый студенческий кубок Прибалтики по интеллектуальным играм","2017-02-18 12:00:00","2017-02-19 16:00:00","6","12","","72","Обычный","0","","","","","https://vk.com/oskp2017","",""
"3854","MGIMO-International","Москва","II международный студенческий фестиваль интеллектуальных игр MGIMO-International","2016-10-01 13:00:00","2016-10-02 15:00:00","4","15","","60","Обычный","0","0","","","","http://vk.com/mgimo_international","",""
"3589","Чемпионат Ростовской области. Высшая лига","Ростов-на-Дону","Открытый чемпионат Ростовской области по игре ""Что? Где? Когда?"". Сезон 2015/2016. Высшая лига","2016-05-25 14:00:00","2016-05-25 23:55:00","12","15","","180","Обычный","0","0","","","","http://chgk-rostov.ru/championship-of-rostov-region","",""
"3421","Кубок Азовского моря","Ейск","X межрегиональный фестиваль интеллектуальных игр ""Кубок Азовского моря"" (гала-турнир)","2015-07-25 14:00:00","2015-07-26 15:00:00","6","12","","72","Обычный","1500","0","Школьные команды","","","http://kubok-azovsea.livejournal.com","руб",""
"3422","ОК КАМ","Ейск","Олимпийский Кубок Азовского моря","2015-07-24 20:00:00","2015-07-25 00:15:00","5","12","","60","Обычный","750","0","Школьные команды","","","http://kubok-azovsea.livejournal.com","руб",""
"3400","Олимпийский кубок Ростова","Ростов-на-Дону","Олимпийский кубок Ростова","2015-06-28 14:00:00","2015-06-28 17:00:00","3","15","","45","Обычный","0","0","","","","","",""
